Query,KCC Ans
Why is sawdust coming out of my poplar tree holes?,"Sawdust from poplar tree holes indicates borers. Insert cotton soaked in chlorpyrifos 20 EC (3 ml per liter) into the holes and seal them. Alternatively, spray the trunk with chlorpyrifos."
Why are small pests eating my berseem crop?,"For small pests in berseem, spray imidacloprid 17.8 SL at 0.5-0.7 ml per liter of water every 7-10 days. Target the undersides of leaves and wear protective gear."
Which sugarcane varieties tolerate waterlogging?,"For waterlogging-tolerant sugarcane varieties, try Pant-214, CoS-92423, or CoS-95422. These perform well in wet conditions."
How much berseem seed should I sow per bigha?,Sow 15 kg of berseem seed per bigha (approximately 0.4 hectares) for optimal growth.
Which wheat varieties are best for hilly areas?,"For hilly areas, wheat varieties like Sonalika, VL-421, VL-401, and VL-404 are high-yielding and suitable."
What herbicide should I use for direct-seeded rice?,"For direct-seeded rice, spray anilophos at 1.65 liters in 800 liters of water per hectare within 2-3 days of sowing."
How do I do organic wheat farming?,"For organic wheat farming, use 7 kg acetobacter per hectare mixed with 150 kg farmyard manure at sowing. Practice crop rotation and use vermicompost for soil health."
How do I control termites in my poplar trees?,"For termites in poplar trees, apply chlorpyrifos 20 EC at 3-3.5 ml per liter of water around the roots or mix with irrigation water at 2 liters per hectare."
How do I control weeds in my maize crop?,"For weeds in maize, spray atrazine or simazine at 1.25 kg per hectare in 800 liters of water within 2-3 days of sowing. Follow up with manual weeding if needed."
Which herbicide should I use for weed control?,"For general weed control, spray fluchloralin 45 EC at 2.2 liters in 800-1000 liters of water per acre within 2-3 days of sowing."
Which mustard varieties should I sow?,"Top mustard varieties include Maya, Urvashi, Varuna, and Rohini. Sow from late September to the first week of October."
Why are white mosquitoes affecting my banana crop?,"For white mosquitoes in bananas, spray imidacloprid 17.8 SL at 0.5-0.7 ml per liter or malathion 5% dust at 20-25 kg per hectare in the morning."
What fertilizer should I use for good banana growth?,"For bananas, apply NPK 19:19:19 at 1 kg per acre in 150 liters of water 20-25 days after planting, then at 40-45 and 55-60 days. Irrigate after each application."
Where can I get wheat seeds from Meerut University?,Contact Meerut University's seed center at 0121-2888522 or 2956141 for wheat seeds.
Why are pests affecting my rice crop?,"For rice pests, spray imidacloprid 17.8 SL at 156 grams in 500-600 liters of water per hectare. Monitor regularly and remove affected parts."
Why is my buffalo giving less milk after calving?,"To boost milk production, feed your buffalo 50 grams of glycopower twice daily mixed with feed. Ensure a balanced diet and consult a veterinarian."
What's the yield of sugarcane per hectare?,"Sugarcane yields 500-700 quintals per hectare, depending on variety and management practices."
Why is my rice turning yellow and powdery?,"For yellowing and powdery rice, spray propiconazole 25 EC at 200 ml per acre with 45 grams streptocycline in 500 liters of water. Apply at the first sign of disease."
Why are worms affecting my pomegranate fruits?,"For worms in pomegranate fruits, spray quinalphos 25 EC at 2 ml per liter of water every 7-10 days. Remove affected fruits and wear protective gear."
Which cotton varieties are best for Uttar Pradesh?,"Top cotton varieties for UP include Parmukh, Shamali, H-4, F-414, Sujatha, Vara Luxmi, Suvin, H-6, and H-8."
How much feed should I give my buffalo?,"For a buffalo producing 25 kg of milk, provide 1 kg of concentrate feed daily, along with green fodder and clean water."
What's the fiber content in cotton?,"Cotton fiber content ranges from 36% to 40%, depending on the variety and growing conditions."
How do I treat chickpea seeds with Rhizobium culture?,"Mix 50 grams of jaggery or sugar in 500 ml water, add one packet of Rhizidium culture (for 10 kg seeds), and coat the seeds evenly. Dry in shade and sow in the evening."
How do I control weeds in my mustard crop?,Apply pendimethalin at 3.3 liters per hectare at sowing time to control weeds in mustard. Follow up with manual weeding if needed.
Why are pests boring holes in my poplar plants?,"For pests boring holes in poplar, insert Furadan 3G granules into the holes and seal them. Alternatively, spray chlorpyrifos 20 EC at 3 ml per liter."
Why aren't my amla trees fruiting?,Amla trees start fruiting after 6-8 years. Ensure 10-50 meter spacing for pollination and spray NAA at 5 ml per liter of water during flowering.
How do I control termites in my poplar trees?,"For termites in poplar, apply chlorpyrifos 20 EC at 30-40 ml in 10 liters of water with slaked lime and paint the trunk base."
How do I control termites in my teak trees?,"For termites in teak, apply chlorpyrifos 20 EC at 30-40 ml in 10 liters of water with slaked lime and paint the trunk base."
How do I get information about the Kisan Credit Card?,Contact your nearest bank manager or visit https://pmkisan.gov.in for details on applying for a Kisan Credit Card.
When should I irrigate my carrot crop?,"Irrigate your carrot crop lightly when soil moisture is low, typically every 10-15 days, depending on weather and soil type."
How do I control termites in my cucumber field?,"For termites in cucumbers, apply chlorpyrifos 20 EC at 2.5 liters per hectare with irrigation water. Use neem cake at 100 kg per hectare for prevention."
How do I control termites in my marigold crop?,"For termites in marigolds, apply chlorpyrifos 20 EC at 2.5 liters per hectare with irrigation water. Monitor regularly for pest activity."
How many irrigations does wheat need?,"Wheat needs 5-6 irrigations: at 20-25 days, crown root initiation, tillering, flowering, milking, and dough stages."
Which early wheat varieties should I sow?,"Early wheat varieties include PBW-343, PBW-502, VL-616, VL-829, and VL-832. These are high-yielding and suitable for timely sowing."
How do I control pests in stored wheat?,"To prevent pests in stored wheat, use aluminum phosphide tablets (10 grams per 5 quintals) in a sealed container. Ensure proper ventilation and follow safety precautions."
How do I make an Aadhaar card?,"For an Aadhaar card, visit your nearest Aadhaar enrollment center or contact UIDAI at 1947. This isn't related to farming, so let me know if you need agricultural help!"
Why are pests affecting my poplar trees?,"For pests in poplar trees, insert cotton soaked in petrol into the holes and seal them. Apply 100 grams NPK and 50 grams Furadan 3G per tree, then irrigate after weeding."
Which early wheat varieties are best?,"Top early wheat varieties include PBW-343, PBW-502, PBW-550, and PBW-17. These are high-yielding and suitable for early sowing."
Why is my groundnut crop affected by tikka disease?,"For tikka disease in groundnut, spray zineb 75% at 2.5 kg per hectare in 2-3 sprays at 10-day intervals. Rotate crops to prevent recurrence."
Why are my cucumber fruits dropping?,"For cucumber fruit drop, spray bavistin at 1 gram and malathion at 2 ml per liter of water. Ensure proper pollination and irrigation."
What fertilizers should I apply to my wheat crop?,"Apply 150 kg NPK (120:60:60) per hectare at sowing, with an additional 30 kg nitrogen as a top dressing after 30-35 days."
Which wheat varieties should I sow?,"Sow wheat varieties like PBW-550, PBW-343, PBW-502, PBW-590, or UP-2425 for high yields and adaptability."
What's the crop rotation for wheat?,"Rotate wheat with crops like rice, lentil, maize, potato, chickpea, or green manure. Examples: Rice-Wheat (1 year), Maize-Potato-Wheat-Chickpea (1 year), or Green Manure-Wheat (1 year)."
How do I treat potato seeds before sowing?,Treat potato seeds with 3% boric acid or 0.25% thiram solution for 20 minutes before sowing to prevent fungal diseases.
Which chickpea varieties are best?,"Top chickpea varieties include Pusa-256, K-850, KWR-108, Pant G-114, Pant G-186, and L-550."
Which sugarcane varieties should I grow?,"Top sugarcane varieties include Co 99004 (Damodar), Co 2001-13, Co 2001-15, Co 0238 (Karan-4), and Co 0118 (Karan-2)."
Why are my rice leaves drying from top to bottom?,"For drying rice leaves, treat seeds with carbendazim before sowing. For standing crops, spray triazole 75 WP at 600 grams in 800 liters of water per hectare."
How do I treat stomach worms in my buffalo calf?,"For stomach worms in a buffalo calf, administer piperazine (one bottle as per vet's dosage). Consult a veterinarian for proper administration."
Which varieties of white and green long eggplants are best?,"For white eggplants, try Hybrid Long White Angel or Chinese Eggplant. For green, use Hybrid Thai Long Green for high yields."
Why isn't my cucumber crop growing well and turning yellow?,"For poor cucumber growth and yellowing, apply NPK 19:19:19 at 1 kg per acre in 150 liters of water 20-25 days after sowing, then at 40-45 and 55-60 days. Spray mancozeb at 2 grams per liter for fungal issues."
Why are my 40-year-old mango trees drying with gum-like secretion?,"Drying and gumming in mango trees may be due to nutrient deficiency or pests. Apply 400 grams copper sulphate, 300 grams zinc sulphate, 200 grams borax, and 200 grams slaked lime per tree in the root zone, followed by irrigation. Spray monocrotophos at 2 ml per liter if pests are present."
How do I control pests in my cucumber crop?,"For cucumber pests, spray quinalphos 25 EC at 2 ml per liter of water every 7-10 days. Target the undersides of leaves and wear protective gear."
How do I control pests in my marigold crop?,"For marigold pests, spray quinalphos 25 EC at 2 ml per liter of water every 7-10 days. Use neem oil at 5 ml per liter for a safer option."
Which wheat varieties can I sow now?,"Sow wheat varieties like PBW-17, PBW-38, PBW-343, or UP-2382 for high yields and adaptability."
